ssid,index,rate,expected,requested,tool,classifier,TP,FP,FN,TP_FN,TP_FP,FDR,MR,precision,recall,fscore
424c4ff7-5cc6-4032-bd54-70b492bbcbb5,1,0.034070268592542335,0.03406973105966287,0.031,pamld_u,multiplex,28703,395,221,28924,29098,0.013574816138566224,0.007640713594246992,0.9864251838614337,0.992359286405753,0.9893833373547966
a5b2c471-f1bc-49b7-9650-19bcd78e73ae,1,0.04153615803193878,0.04154681500776635,0.0375,deml,multiplex,28536,981,388,28924,29517,0.033235084866348207,0.01341446549578205,0.9667649151336518,0.9865855345042179,0.9765746650467994
a5b2c471-f1bc-49b7-9650-19bcd78e73ae,1,0.04153615803193878,0.04154681500776635,0.0375,mdd,multiplex,26796,1,2128,28924,26797,3.7317610180244055e-05,0.07357212003872217,0.9999626823898198,0.9264278799612778,0.9617917840670483
a5b2c471-f1bc-49b7-9650-19bcd78e73ae,1,0.04153615803193878,0.04154681500776635,0.0375,pamld,multiplex,28648,119,276,28924,28767,0.004136684395314075,0.009542248651638777,0.9958633156046859,0.9904577513483612,0.9931531781387044
a5b2c471-f1bc-49b7-9650-19bcd78e73ae,1,0.04153615803193878,0.04154681500776635,0.0375,pamld_ap,multiplex,28643,110,281,28924,28753,0.003825687754321288,0.009715115475038031,0.9961743122456788,0.990284884524962,0.9932208679369594
a5b2c471-f1bc-49b7-9650-19bcd78e73ae,1,0.04153615803193878,0.04154681500776635,0.0375,pamld_u,multiplex,28663,577,261,28924,29240,0.01973324213406293,0.009023648181441017,0.9802667578659371,0.990976351818559,0.9855924626916994
58020739-79fd-4cab-8f4e-e611a6cfba15,1,0.05082324636893082,0.050833909960933954,0.05,deml,multiplex,28430,1258,494,28924,29688,0.042374023174346534,0.017079242151846218,0.9576259768256534,0.9829207578481538,0.9701085102026888
58020739-79fd-4cab-8f4e-e611a6cfba15,1,0.05082324636893082,0.050833909960933954,0.05,mdd,multiplex,25969,3,2955,28924,25972,0.00011550900970275681,0.10216429262895865,0.9998844909902972,0.8978357073710413,0.9461162926260565
58020739-79fd-4cab-8f4e-e611a6cfba15,1,0.05082324636893082,0.050833909960933954,0.05,pamld,multiplex,28558,147,366,28924,28705,0.005121059048946177,0.012653851472825335,0.9948789409510538,0.9873461485271746,0.9910982317930208
58020739-79fd-4cab-8f4e-e611a6cfba15,1,0.05082324636893082,0.050833909960933954,0.05,pamld_ap,multiplex,28547,118,377,28924,28665,0.004116518402232688,0.013034158484303693,0.9958834815977673,0.9869658415156963,0.991404608518988
58020739-79fd-4cab-8f4e-e611a6cfba15,1,0.05082324636893082,0.050833909960933954,0.05,pamld_u,multiplex,28580,723,344,28924,29303,0.02467324164761287,0.01189323744986862,0.9753267583523871,0.9881067625501314,0.9816751678774451
ffad3de5-49d4-4c8d-8be9-6db1be42dbda,1,0.062074054879668,0.062081469873390846,0.0625,deml,multiplex,28182,1467,742,28924,29649,0.04947890316705454,0.025653436592449178,0.9505210968329455,0.9743465634075508,0.9622863776825499
ffad3de5-49d4-4c8d-8be9-6db1be42dbda,1,0.062074054879668,0.062081469873390846,0.0625,mdd,multiplex,24893,4,4031,28924,24897,0.00016066192713981605,0.13936523302447795,0.9998393380728602,0.8606347669755221,0.9250292636703146
ffad3de5-49d4-4c8d-8be9-6db1be42dbda,1,0.062074054879668,0.062081469873390846,0.0625,pamld,multiplex,28433,204,491,28924,28637,0.0071236512204490695,0.016975522057806666,0.9928763487795509,0.9830244779421934,0.9879258525737914
ffad3de5-49d4-4c8d-8be9-6db1be42dbda,1,0.062074054879668,0.062081469873390846,0.0625,pamld_ap,multiplex,28423,159,501,28924,28582,0.0055629417115667205,0.017321255704605173,0.9944370582884333,0.9826787442953948,0.9885229367370361
ffad3de5-49d4-4c8d-8be9-6db1be42dbda,1,0.062074054879668,0.062081469873390846,0.0625,pamld_u,multiplex,28473,875,451,28924,29348,0.029814638135477717,0.01559258747061264,0.9701853618645223,0.9844074125293873,0.9772446457990115
92ffff7e-8c09-447a-96b1-9bcdc2a0da1c,1,0.07520796206119236,0.07520542584097598,0.075,deml,multiplex,27844,1830,1080,28924,29674,0.06167014895194446,0.03733923385423869,0.9383298510480556,0.9626607661457613,0.9503396020341991
92ffff7e-8c09-447a-96b1-9bcdc2a0da1c,1,0.07520796206119236,0.07520542584097598,0.075,mdd,multiplex,23593,5,5331,28924,23598,0.00021188236291211119,0.18431060710828379,0.9997881176370879,0.8156893928917163,0.898404478123453
