SampleNumber	Tile	NumberOfReadsRaw	NumberOfReadsPF
4	2429	8183808	3086122
4	2430	8183808	3098258
4	2431	8183808	3103601
4	2432	8183808	3108024
4	2433	8183808	3104163
4	2434	8183808	3100069
4	2435	8183808	3095794
4	2436	8183808	3079645
4	2437	8183808	3108573
4	2438	8183808	3119149
4	2439	8183808	3104974
4	2440	8183808	3099560
4	2441	8183808	3096814
4	2442	8183808	3085897
4	2443	8183808	3084274
4	2444	8183808	3076465
4	2445	8183808	3076512
4	2446	8183808	3075797
4	2447	8183808	3084593
4	2448	8183808	3079212
4	2449	8183808	3084614
4	2450	8183808	3079191
4	2451	8183808	3085543
4	2452	8183808	3063421
4	2453	8183808	3059851
4	2454	8183808	3064146
4	2455	8183808	3069205
4	2456	8183808	3065513
4	2457	8183808	3056718
4	2458	8183808	3074210
4	2459	8183808	3072634
4	2460	8183808	3069176
4	2461	8183808	3076330
4	2462	8183808	3080499
4	2463	8183808	3070655
4	2464	8183808	3052932
4	2465	8183808	3065277
4	2466	8183808	3071810
4	2467	8183808	3064609
4	2468	8183808	3069576
4	2469	8183808	3053268
4	2470	8183808	3053831
4	2471	8183808	3050748
4	2472	8183808	3049291
4	2473	8183808	3048527
4	2474	8183808	3053732
4	2475	8183808	3048965
4	2476	8183808	3049908
4	2477	8183808	3045410
4	2478	8183808	3046505
4	2501	8183808	3020997
4	2502	8183808	3019156
4	2503	8183808	3012655
4	2504	8183808	3032772
4	2505	8183808	3034844
4	2506	8183808	3030125
4	2507	8183808	3021664
4	2508	8183808	3030861
4	2509	8183808	3013080
4	2510	8183808	3025115
4	2511	8183808	3035109
4	2512	8183808	3030888
4	2513	8183808	3026642
4	2514	8183808	3024699
4	2515	8183808	3037466
4	2516	8183808	3042636
4	2517	8183808	3046850
4	2518	8183808	3048826
4	2519	8183808	3059547
4	2520	8183808	3069886
4	2521	8183808	3081192
4	2522	8183808	3077895
4	2523	8183808	3052337
4	2524	8183808	3087940
4	2525	8183808	3069647
4	2526	8183808	3059735
4	2527	8183808	3066595
4	2528	8183808	3073759
4	2529	8183808	3066222
4	2530	8183808	3065094
4	2531	8183808	3061609
4	2532	8183808	3074112
4	2533	8183808	3075477
4	2534	8183808	3067974
4	2535	8183808	3064084
4	2536	8183808	3053930
4	2537	8183808	3058524
4	2538	8183808	3071267
4	2539	8183808	3059162
4	2540	8183808	3058943
4	2541	8183808	3043939
4	2542	8183808	3040617
4	2543	8183808	3038597
4	2544	8183808	3040829
4	2545	8183808	3045822
4	2546	8183808	3041966
4	2547	8183808	3050138
4	2548	8183808	3048955
4	2549	8183808	3050153
4	2550	8183808	3049225
4	2551	8183808	3057689
4	2552	8183808	3049503
4	2553	8183808	3044356
4	2554	8183808	3046184
4	2555	8183808	3052752
4	2556	8183808	3038413
4	2557	8183808	3026106
4	2558	8183808	3021447
4	2559	8183808	3027712
4	2560	8183808	3027710
4	2561	8183808	3028886
4	2562	8183808	3042173
4	2563	8183808	3034568
4	2564	8183808	3031545
4	2565	8183808	3010439
4	2566	8183808	3049184
4	2567	8183808	3037619
4	2568	8183808	3037305
4	2569	8183808	3029348
4	2570	8183808	3027346
4	2571	8183808	3025591
4	2572	8183808	3017285
4	2573	8183808	3015290
4	2574	8183808	3014816
4	2575	8183808	3005768
4	2576	8183808	3011581
4	2577	8183808	3001456
4	2578	8183808	3004724
4	2601	8183808	2974341
4	2602	8183808	2984621
4	2603	8183808	2979193
4	2604	8183808	2971607
4	2605	8183808	2963344
4	2606	8183808	2969067
4	2607	8183808	2986598
4	2608	8183808	2984042
4	2609	8183808	2983096
4	2610	8183808	2977757
4	2611	8183808	2977632
4	2612	8183808	2983269
4	2613	8183808	2993101
4	2614	8183808	2995995
4	2615	8183808	2999851
4	2616	8183808	2992577
4	2617	8183808	3000776
4	2618	8183808	3014100
4	2619	8183808	3019773
4	2620	8183808	3026911
4	2621	8183808	3029731
4	2622	8183808	3044258
4	2623	8183808	3038310
4	2624	8183808	3051330
4	2625	8183808	3045851
4	2626	8183808	3041889
4	2627	8183808	3044342
4	2628	8183808	3034542
4	2629	8183808	3050988
4	2630	8183808	3042253
4	2631	8183808	3045327
4	2632	8183808	3049595
4	2633	8183808	3052727
4	2634	8183808	3051252
4	2635	8183808	3040572
4	2636	8183808	3037738
4	2637	8183808	3046713
4	2638	8183808	3044740
4	2639	8183808	3035928
4	2640	8183808	3039325
4	2641	8183808	3039377
4	2642	8183808	3037154
4	2643	8183808	3040627
4	2644	8183808	3041513
4	2645	8183808	3041704
4	2646	8183808	3038851
4	2647	8183808	3040200
4	2648	8183808	3038745
4	2649	8183808	3040395
4	2650	8183808	3045597
4	2651	8183808	3039758
4	2652	8183808	3045054
4	2653	8183808	3031998
4	2654	8183808	3036535
4	2655	8183808	3029315
4	2656	8183808	3030923
4	2657	8183808	3003270
4	2658	8183808	2997981
4	2659	8183808	3010772
4	2660	8183808	3027206
4	2661	8183808	3039817
4	2662	8183808	3031286
4	2663	8183808	3046578
4	2664	8183808	3031676
4	2665	8183808	3044531
4	2666	8183808	3058371
4	2667	8183808	3045839
4	2668	8183808	3033062
4	2669	8183808	3050713
4	2670	8183808	3042960
4	2671	8183808	3034909
4	2672	8183808	3038656
4	2673	8183808	3041108
4	2674	8183808	3042461
4	2675	8183808	3039963
4	2676	8183808	3035700
4	2677	8183808	3033199
4	2678	8183808	3027980
